WKT,of_Students,Owner_Name,Facility_Identifier,State_Name,Last_Editor,Facility_Area,Feature_Code,Full_Address,Name_of_Facility,Last_Update_Date,Capture_Method,Owner_Type,Municipality_Name,Location_Type,Description,Shape_X,Shape_Y
"POINT (-10682348.8303317 4331440.0094735)",,,,OK,CBALSIGER,,School: Elementary,2138 E 48th St N,Penn Elementary,2016/04/22 19:02:44,Placed on Map,,Tulsa,Building,Public School,-10682348.8303,4331440.00947
"POINT (-10684644.2587265 4329638.84618823)",,,,OK,CBALSIGER,,School: Elementary,3924 N Lansing Ave,Whitman Elementary,2016/04/22 19:16:23,Placed on Map,,Tulsa,Building,Public School,-10684644.2587,4329638.84619
"POINT (-10674940.5662784 4323409.30557135)",,,,OK,CBALSIGER,,School: Elementary,733 N 73rd E Ave,Mitchell Elementary,2016/04/22 18:59:41,Placed on Map,,Tulsa,Building,Public School,-10674940.5663,4323409.30557
"POINT (-10675702.3423046 4323900.3460655)",,,,OK,CBALSIGER,,School: Elementary,6703 E King St,McKinley Elementary,2016/04/22 18:57:43,Placed on Map,,Tulsa,Building,Public School,-10675702.3423,4323900.34607
"POINT (-10676289.2506723 4322558.19888901)",,,,OK,cbalsiger,,School: Elementary,6304 E Admiral Blvd,Bell Elementary,2016/01/29 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10676289.2507,4322558.19889
"POINT (-10678189.0640942 4302725.92050369)",,,,OK,CBALSIGER,,School: Elementary,10222 S Yale Ave,Jenks Southeast Elementary,2016/04/22 18:52:30,Placed on Map,,Tulsa,Building,Public School,-10678189.0641,4302725.9205
"POINT (-10681713.4677465 4324935.01974874)",,,,OK,CBALSIGER,,School: Elementary,2510 E Pine St,Springdale Elementary,2016/04/22 19:07:06,Placed on Map,,Tulsa,Building,Public School,-10681713.4677,4324935.01975
"POINT (-10678930.3922449 4326094.29345488)",,,,OK,CBALSIGER,,School: Elementary,2137 N Pittsburg Ave,Jackson Elementary,2016/04/22 18:52:07,Placed on Map,,Tulsa,Building,Public School,-10678930.3922,4326094.29345
"POINT (-10680154.4200536 4325400.75654867)",,,,OK,cbalsiger,,School: Elementary,1740 N Harvard Ave,Celia Clinton Elementary,2016/01/28 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10680154.4201,4325400.75655
"POINT (-10678366.2027087 4324176.33441153)",,,,OK,CBALSIGER,,School: Elementary,1132 N Vandalia Ave,Owen Elementary,2016/04/22 19:01:43,Placed on Map,,Tulsa,Building,Public School,-10678366.2027,4324176.33441
"POINT (-10676324.0419918 4326413.58038387)",,,,OK,CBALSIGER,,School: Elementary,2316 N Norwood Pl,Hamilton Elementary,2016/04/22 18:50:32,Placed on Map,,Tulsa,Building,Public School,-10676324.042,4326413.58038
"POINT (-10676493.9933761 4322441.19551484)",,,,OK,SDE,,School: Elementary,209 S Lakewood Ave,Bell Primary,2016/05/03 16:47:06,Placed on Map,,Tulsa,Building,Public School,-10676493.9934,4322441.19551
"POINT (-10678701.6340028 4312047.42866904)",,,,OK,CBALSIGER,,School: Elementary,4309 E 56th St,Carnegie Elementary,2016/03/15 00:00:00,Placed on Map,,Tulsa,Building,Public School,-10678701.634,4312047.42867
